candidate_id,source,equation,threshold_name,threshold_value,pass
flagship_pysr::000,flagship_pysr,exp(exp((x4 + (x7 - -2.0220485)) / exp(x0)) * -0.0031461688),current_all,,False
flagship_pysr::001,flagship_pysr,sqrt(log1p(exp(x0))),current_all,,False
flagship_pysr::002,flagship_pysr,exp(exp((x4 + ((x9 - x3) + x7)) / exp(x1)) * -0.0023506025),current_all,,False
flagship_pysr::003,flagship_pysr,exp(-0.054394767 * exp(x9 - x3)),current_all,,False
flagship_pysr::004,flagship_pysr,log1p(exp(x0)),current_all,,False
flagship_pysr::005,flagship_pysr,exp(exp((x9 + x7) / exp(x1)) * -0.010614875),current_all,,False
flagship_pysr::006,flagship_pysr,exp(exp(((x7 + x9) - x3) - x1) * -0.010614875),current_all,,False
flagship_pysr::007,flagship_pysr,exp(-0.0154611515 * exp(x9 / exp(x0))),current_all,,False
flagship_pysr::008,flagship_pysr,sqrt(exp(exp((x4 + (x7 + (x9 - x3))) / exp(x1)) * -0.0023012531)),current_all,,False
flagship_pysr::009,flagship_pysr,exp(exp((x9 - x3) - x1) * -0.010614875),current_all,,False
flagship_pysr::010,flagship_pysr,exp(-0.01540409 * exp((x7 - (x0 / 0.39606896)) + x4)),current_all,,False
flagship_pysr::011,flagship_pysr,exp(-0.01702503 * exp((x7 - (x1 - x4)) - (x0 - x9))),current_all,,False
flagship_pysr::012,flagship_pysr,exp(exp(x9 - x3) * -0.054373782),current_all,,False
flagship_pysr::013,flagship_pysr,exp(-0.013298511 * exp((x7 - x1) * exp(x9))),current_all,,False
flagship_pysr::014,flagship_pysr,exp(-0.025032457 / exp(exp(x9) * x0)),current_all,,False
flagship_pysr::015,flagship_pysr,exp(-0.013298511 * exp(((x7 + x9) - ((x1 / 0.7186556) - x4)) - x0)),current_all,,False
flagship_pysr::016,flagship_pysr,log1p(sqrt(2.3882582 + x0)),current_all,,False
flagship_pysr::017,flagship_pysr,exp(-0.013298511 * exp((x9 - x1) - x3)),current_all,,False
flagship_pysr::018,flagship_pysr,exp(-0.0077730184 * exp(((-3.538925 - x7) - x4) * x0)),current_all,,False
flagship_pysr::019,flagship_pysr,exp(-0.06354956 / exp(x3 - x9)),current_all,,False
flagship_pysr::020,flagship_pysr,exp(exp(((x1 - (x9 + x4)) - exp(log1p(x7))) * x0) * -0.0077730184),current_all,,False
flagship_pysr::021,flagship_pysr,exp(exp(x1 * (x3 - x9)) * -0.014394815),current_all,,False
flagship_pysr::022,flagship_pysr,exp(-0.028306283 * exp(x0 * ((x1 - x9) - (x7 + x4)))),current_all,,False
flagship_pysr::023,flagship_pysr,0.87816787 + (0.25817737 * x0),current_all,,False
flagship_pysr::024,flagship_pysr,exp(log1p(-0.07682814 / exp(x0))),current_all,,False
flagship_pysr::025,flagship_pysr,sqrt(exp(-0.0077730184 * exp((x0 * (-3.4583066 - (x7 + x4))) + x9))),current_all,,False
